ResourceID,Geometric Place Expression,External Dataset,External Entity,External Dataset Resource Name,Place Name,Name Type,External Resource Site Class,External Resource Site Type,External Resource Count,Cultural Period Type,Cultural Sub-period Type,Remark,Remark Type,External Entity
d0235cf7-6095-41ad-b1d9-8d028603f162,POINT (91.51171667 47.93981667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0080,"""Улаан худаг II.III""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
eda7d7ce-0792-4fcb-952f-87ba2dabc9f3,POINT (91.45933333 47.9233),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0081,"""Халзан үзүүр II""",Toponym,Burial Site,Khemceg Burial,4,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
63acbaf7-a674-4507-ae34-0aa08481bc28,POINT (91.60885 48.01598333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0082,"""Полигон I""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,"""endangered due to settlement activities""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
75a0f84f-498f-4d69-9eb6-ad548765acd6,POINT (91.61965 48.02373333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0083,"""Шар сүм I""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,"""located in the settlement, therefore endangered through that""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
4c1b1755-22f9-4500-a05a-4f7bb21155e9,POINT (91.2288 48.16411667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0084,"""Хуурай салааны ам""",Toponym,Burial Site,Khemceg Burial,2,Bronze Age,Early Bronze Age,"""clearly visable in Maxar, probably looted""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
4ef51ae9-c015-41c3-9496-21941dce813b,POINT (91.3052 48.12263333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0085,"""Бэлэн ус 3""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
1e7f005f-3342-4713-998d-2656cb95c3cc,POINT (90.82105 48.38666667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0086,"""Баян-Энгэр чемурчек булш""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
cd79cc4e-994c-4bd5-b582-e555303693f0,POINT (90.82105 48.3867),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0087,"""Баян-Энгэрийн хадны зураг""",Toponym,Rock Art/Stone Inscription Site,Petroglyph,1,Undetermined,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
5b0fc2c4-bde0-4230-9993-4d7d78669547,POINT (91.55016667 46.12463333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0088,"""Ягшийн хөдөө I""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
c0693b38-0e65-4519-b877-3b382da3620d,POINT (91.574 46.12216667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0089,"""Ягшийн хөдөөгийн гуравдугаар""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
3b7a6ef4-fae0-4771-af70-c747312b1da3,POINT (91.4878 46.13445),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0090,"""Хэвийн ам 3""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
d02ae56a-ddaa-4a51-9da0-eae843acba19,POINT (91.52876667 46.10136667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0091,"""Буурал харын ар""",Toponym,Undetermined,Undetermined,1,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
e75797b5-caec-4135-815a-62f6c7895a8b,POINT (91.44473333 46.0933),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0092,"""Хөх үзүүрийн дугуй I чемурчек булш A""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
ad15da25-4e75-4c6e-b24e-42b2f8b2be3f,POINT (91.46241667 46.09091667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0093,"""Хөх үзүүрийн дугуйн II чемурчек булш B""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
a9d65598-ef18-4205-840f-844db82c08d9,POINT (91.43796667 46.0854),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0094,"""Хадат овоо 2 чемурчек булш""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
